,personal·pre,halfpersonal·pre,nonpersonal·pre,personal·post,halfpersonal·post,nonpersonal·post,probe-log·post,probe-inline·post,switch-user·before,switch-task·before,discontinue·before,switch-user·mid,switch-task·mid,discontinue·mid
personal·pre,1.0,0.7739028639274887,0.6681281554737318,0.5218012102542696,0.5516084759137383,0.4788403825659609,0.37932099381482703,0.5279695858537787,0.25355635141230165,0.1857153320826829,0.13622848242860333,-0.15112526514389008,0.1377858240900062,0.22250212692345323
halfpersonal·pre,0.7739028639274887,1.0,0.8536081098018229,0.5765666893532936,0.6114404365994804,0.5231162556760172,0.41040114505781194,0.4634205710932788,0.1809211992394379,0.2041625995730627,0.1622704988373885,-0.16339306109221402,0.045905313453145295,0.15767334731476185
nonpersonal·pre,0.6681281554737318,0.8536081098018229,1.0,0.5337355743207045,0.5586223522102078,0.5011193651515005,0.22237141047855574,0.36356970443305114,0.15927505797463395,0.22065241160010032,0.18428689646594693,-0.1578012401060018,0.04703298696599843,0.09902470452538532
personal·post,0.5218012102542696,0.5765666893532936,0.5337355743207045,1.0,0.9307828771404218,0.8668350431684834,0.33963859590480894,0.6274195834486321,0.29197353331679154,0.4100660943845954,0.39038610042705135,0.06794964361449246,0.12819211554113819,0.30219305969204774
halfpersonal·post,0.5516084759137383,0.6114404365994804,0.5586223522102078,0.9307828771404218,1.0,0.9034399214021839,0.39240306165635175,0.6057749180993257,0.23706222258331994,0.40331414663171944,0.40554082000402686,-0.023244972494201408,0.054888941581723354,0.23967415500534864
nonpersonal·post,0.4788403825659609,0.5231162556760172,0.5011193651515005,0.8668350431684834,0.9034399214021839,1.0,0.295116829728591,0.5691495396945602,0.347538508417301,0.41771277037994015,0.34679588841162484,0.19250566967136512,0.20436856253526897,0.25335822067120156
probe-log·post,0.37932099381482703,0.41040114505781194,0.22237141047855574,0.33963859590480894,0.39240306165635175,0.295116829728591,1.0,0.4354317860884004,0.2015965680004602,0.07027529457320766,-0.0563250092653211,,,
probe-inline·post,0.5279695858537787,0.4634205710932788,0.36356970443305114,0.6274195834486321,0.6057749180993257,0.5691495396945602,0.4354317860884004,1.0,0.16753673228686153,0.13864863261070726,0.0671994667701037,,-0.042958136483810645,
switch-user·before,0.25355635141230165,0.1809211992394379,0.15927505797463395,0.29197353331679154,0.23706222258331994,0.347538508417301,0.2015965680004602,0.16753673228686153,1.0,0.7009481279242344,0.3171140392944625,0.45894082577222717,0.6835464013130618,0.6625846581769314
switch-task·before,0.1857153320826829,0.2041625995730627,0.22065241160010032,0.4100660943845954,0.40331414663171944,0.41771277037994015,0.07027529457320766,0.13864863261070726,0.7009481279242344,1.0,0.7476735194144509,0.2025800258013088,0.42810391907165674,0.5109994890106877
discontinue·before,0.13622848242860333,0.1622704988373885,0.18428689646594693,0.39038610042705135,0.40554082000402686,0.34679588841162484,-0.0563250092653211,0.0671994667701037,0.3171140392944625,0.7476735194144509,1.0,-0.08072485186573901,0.1272213264163021,0.3038593062638551
switch-user·mid,-0.15112526514389008,-0.16339306109221402,-0.1578012401060018,0.06794964361449246,-0.023244972494201408,0.19250566967136512,,,0.45894082577222717,0.2025800258013088,-0.08072485186573901,1.0,0.5149600134712131,0.4555683376450804
switch-task·mid,0.1377858240900062,0.045905313453145295,0.04703298696599843,0.12819211554113819,0.054888941581723354,0.20436856253526897,,-0.042958136483810645,0.6835464013130618,0.42810391907165674,0.1272213264163021,0.5149600134712131,1.0,0.6924456252539758
discontinue·mid,0.22250212692345323,0.15767334731476185,0.09902470452538532,0.30219305969204774,0.23967415500534864,0.25335822067120156,,,0.6625846581769314,0.5109994890106877,0.3038593062638551,0.4555683376450804,0.6924456252539758,1.0
