,personal·pre,halfpersonal·pre,nonpersonal·pre,personal·post,halfpersonal·post,nonpersonal·post,probe-log·post,probe-inline·post,switch-user·before,switch-task·before,discontinue·before,switch-user·mid,switch-task·mid,discontinue·mid
personal·pre,1.0,0.4944639739201956,0.30299139098324246,,,-0.02458640208642749,,0.13183583541591734,0.06335570003385332,0.010614037166742333,-0.01447901034642575,-0.03817023467334451,-0.05555742368258842,-0.055557993049744625
halfpersonal·pre,0.4944639739201956,1.0,0.48614060743625787,,,-0.05505707287367436,,0.21316508539588153,0.46903779395256356,0.37217003268041404,0.36560719086539156,0.6349587089323621,0.5139638480481006,0.475798807589602
nonpersonal·pre,0.30299139098324246,0.48614060743625787,1.0,,,-0.08455451660780285,,0.1808042254654415,0.14479206112591125,0.27446964651594613,0.2741847670612074,0.17960954280309815,0.12096341590841138,0.13467008235776853
personal·post,,,,,,,,,,,,,,
halfpersonal·post,,,,,,,,,,,,,,
nonpersonal·post,-0.02458640208642749,-0.05505707287367436,-0.08455451660780285,,,1.0,,0.13823420516357302,-0.09198424092085696,-0.045094462574257185,-0.05931330310702735,-0.07226445191872755,-0.08347118922575714,-0.08341490650986903
probe-log·post,,,,,,,,,,,,,,
probe-inline·post,0.13183583541591734,0.21316508539588153,0.1808042254654415,,,0.13823420516357302,,1.0,0.1613880639857445,0.16249562540689488,0.11809008535524983,0.18544551939287426,0.1299014761885868,0.17558542814191178
switch-user·before,0.06335570003385332,0.46903779395256356,0.14479206112591125,,,-0.09198424092085696,,0.1613880639857445,1.0,0.8939303911419104,0.8659547497566566,0.8509585013301059,0.9041723008962381,0.9299529954061484
switch-task·before,0.010614037166742333,0.37217003268041404,0.27446964651594613,,,-0.045094462574257185,,0.16249562540689488,0.8939303911419104,1.0,0.9455928801697419,0.7630216264527555,0.8060515456170267,0.8343466164656366
discontinue·before,-0.01447901034642575,0.36560719086539156,0.2741847670612074,,,-0.05931330310702735,,0.11809008535524983,0.8659547497566566,0.9455928801697419,1.0,0.7658493149037714,0.8011688614809191,0.8308567670679284
switch-user·mid,-0.03817023467334451,0.6349587089323621,0.17960954280309815,,,-0.07226445191872755,,0.18544551939287426,0.8509585013301059,0.7630216264527555,0.7658493149037714,1.0,0.9110821627963027,0.8840272319102573
switch-task·mid,-0.05555742368258842,0.5139638480481006,0.12096341590841138,,,-0.08347118922575714,,0.1299014761885868,0.9041723008962381,0.8060515456170267,0.8011688614809191,0.9110821627963027,1.0,0.938288288171013
discontinue·mid,-0.055557993049744625,0.475798807589602,0.13467008235776853,,,-0.08341490650986903,,0.17558542814191178,0.9299529954061484,0.8343466164656366,0.8308567670679284,0.8840272319102573,0.938288288171013,1.0
